make,price,body_type,type,doors,warranty,mileage,gearbox,metallic,seller,seats,engine_size,empty_weight,non_smoker_vehicle,country,power_kwh,age,fuel_type,co2_emissions,fuel_consumption_comb,safety_security_kmeans,comfort_convenience_kmeans,entertainment_kmeans,extras_kmeans,general_inspection_2,full_service_history_2,upholstery_2,previous_owner_2,taxi_or_rental_car_2,emission_class_euro
Mercedes-Benz,16950,Compact,Used,5,2,120200.0,Manual,1,Dealer,5,1461.0,1270.0,0,ES,66.0,6,Diesel,98.0,146.68,0,0,0,0,0,0,Other,Other,No,5
Mercedes-Benz,46990,Compact,Used,5,1,18995.0,Automatic,0,Dealer,5,1991.0,1455.0,0,ES,225.0,2,Benzine,169.0,223.944,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,16800,Compact,Used,5,1,197000.0,Automatic,1,Dealer,5,2143.0,1545.0,0,ES,100.0,7,Diesel,138.8576369825409,189.14000000000001,0,0,1,0,0,0,Other,Other,No,6
Mercedes-Benz,4690,Compact,Used,3,0,165000.0,Manual,1,Dealer,4,1799.0,1465.0,1,DE,90.0,17,Benzine,196.0,275.52,1,1,0,1,1,1,Other,Other,No,6
Mercedes-Benz,26900,Compact,Used,5,2,48900.0,Automatic,1,Dealer,5,1991.0,1450.0,0,ES,140.0,3,Benzine,141.0,205.632,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,44999,Compact,Used,5,0,56876.0,Automatic,0,Dealer,5,1991.0,1455.0,0,BE,225.0,3,Benzine,168.0,223.944,0,0,0,0,0,0,Leather,Other,No,6
Mercedes-Benz,23900,Compact,Used,5,1,21854.0,Automatic,0,Dealer,5,1991.0,1365.0,0,ES,102.0,4,Diesel,108.5,208.44000000000003,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,14200,Compact,Used,5,1,99016.0,Manual,1,Dealer,5,1461.0,1295.0,0,BE,66.0,7,Diesel,98.0,146.68,1,1,1,0,0,0,Other,Other,No,5
Mercedes-Benz,23999,Compact,Used,5,1,25914.0,Automatic,0,Dealer,5,1991.0,1445.0,0,ES,155.0,9,Benzine,145.0,129.74769230769232,1,0,1,0,0,0,Other,Other,No,6
Mercedes-Benz,24400,Compact,Used,5,1,27150.0,Manual,1,Dealer,5,1461.0,1330.0,0,BE,85.0,2,Diesel,120.0,147.58823529411765,2,1,1,1,0,0,Leather,Other,No,6
Mercedes-Benz,16999,Compact,Used,5,1,210000.0,Automatic,0,Dealer,5,2143.0,1545.0,0,ES,100.0,6,Diesel,138.8576369825409,189.14000000000001,0,0,1,0,0,0,Other,Other,No,6
Mercedes-Benz,7450,Compact,Used,4,0,157500.0,Manual,1,Dealer,5,1991.0,1345.0,1,DE,80.0,12,Diesel,138.0,200.72000000000003,1,1,1,1,2,1,Other,Other,No,6
Mercedes-Benz,41900,Compact,Used,5,1,44000.0,Automatic,1,Dealer,5,1991.0,1455.0,0,ES,225.0,3,Benzine,169.0,223.944,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,29800,Compact,Used,5,1,21734.0,Automatic,1,Dealer,5,1461.0,1445.0,0,ES,85.0,2,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,21000,Compact,Used,5,1,172700.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,26800,Compact,Used,4,1,18989.0,Automatic,1,Dealer,5,1461.0,1455.0,0,ES,85.0,2,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
